"Run","P_OSD_sampled","Cost_SoC","Cost_Exp","QALY_SoC","QALY_Exp","Inc_Cost","Inc_QALY","ICER","NMB"
82,0.0260238519564025,39996.2889736071,70250.3015909448,1.1954867638559,1.28098648224214,30254.0126173377,0.0854997183862414,353849.266270872,-26406.5252899569
83,0.0283336810822733,38735.173031978,69278.7383179505,1.10834817412905,1.24504973099829,30543.5652859725,0.136701556869241,223432.461088854,-24391.9952268567
84,0.0280553768362987,37864.2817789866,73996.4255066489,1.11898840781389,1.28838210006021,36132.1437276623,0.169393692246316,213302.769710707,-28509.4275765781
85,0.0273210758609245,38935.5899354351,68147.4819881925,1.011074109995,1.16061579024888,29211.8920527574,0.149541680253885,195342.810132686,-22482.5164413326
86,0.0268491714072935,39019.9963998812,70053.4115952422,1.05002141823829,1.19598846726251,31033.4151953611,0.145967049024226,212605.621630472,-24464.8979892709
87,0.0255806569657183,42892.8368164183,71683.4151262268,1.25882517246665,1.45584681910604,28790.5783098085,0.197021646639384,146129.010699545,-19924.6042110362
88,0.0256216817517006,41814.0979068364,71100.7484918762,0.965205177830627,1.11526696364633,29286.6505850398,0.150061785815701,195163.948142056,-22533.8702233332
89,0.0290868401139247,37056.7462730491,65511.3183727572,1.1579269147301,1.342133255748,28454.5720997081,0.184206341017902,154471.186727186,-20165.2867539025
90,0.0261549646521159,37314.7736503128,68094.6891134469,1.12519674397288,1.38961762264043,30779.9154631341,0.264420878667549,116405.011655048,-18880.9759230944
91,0.0249724612474786,42710.516052961,79239.189473443,1.22341842203829,1.48307768665648,36528.673420482,0.259659264618181,140679.260854397,-24844.0065126638
92,0.0254574914399079,36486.2169472745,65688.6214205017,1.228691933643,1.3927406597404,29202.4044732273,0.164048726097392,178010.553132186,-21820.2117988446
93,0.0268762415146192,38134.1000525321,67815.7866026588,1.0822361155571,1.24354032272169,29681.6865501267,0.161304207164598,184010.616163526,-22422.9972277198
94,0.0261390049854803,37704.75900873,69047.8410943811,1.28521885526929,1.48914316652381,31343.0820856511,0.203924311254523,153699.58536494,-22166.4880791976
95,0.025992401354617,38025.7225811213,69650.1214367699,1.17683971297294,1.33247194792339,31624.3988556487,0.155632234950451,203199.541956825,-24620.9482828784
96,0.0250894798153756,40679.3185493441,62950.8409610141,1.17274753847917,1.26253123709459,22271.52241167,0.0897836986154135,248057.528873583,-18231.2559739764
97,0.026431990147405,36003.4124997569,69065.0344032827,0.98730771655924,1.17428862158107,33061.6219035258,0.186980905021828,176818.172420688,-24647.4811775436
98,0.0253451954051281,38169.687242573,73367.906354879,1.17193752305357,1.34984495408794,35198.219112306,0.177907431034369,197845.69372769,-27192.3847157594
99,0.0259447848708163,37994.8036537291,69392.8451269486,1.19772528982602,1.35117560985613,31398.0414732195,0.153450320030105,204613.72427936,-24492.7770718647
100,0.0279264200420905,41067.5938738778,74308.8440606599,1.34795797362928,1.49993070928433,33241.2501867821,0.151972735655055,218731.669489931,-26402.4770823046
101,0.0256585528769312,43866.841234983,79339.3685220164,1.04939646788327,1.21725480299564,35472.5272870334,0.167858335112369,211324.193483077,-27918.9022069768
102,0.0274148764680535,36043.3776419322,62865.8196001251,1.09653813933736,1.20890786844418,26822.4419581929,0.112369729106816,238698.109992738,-21765.8041483862
103,0.0239823102304868,42154.4829826396,81924.7659537482,1.36300394529202,1.60373067359696,39770.2829711086,0.240726728304941,165209.253044512,-28937.5801973863
104,0.0264166531516823,38357.0586739734,65198.5129595401,1.20240131059491,1.35014159771542,26841.4542855667,0.147740287120516,181679.992700104,-20193.1413651434
105,0.0272758321027398,39289.8714540748,69819.2163385394,1.03125006789221,1.16188786079006,30529.3448844646,0.130637792897851,233694.585672741,-24650.6442040613
